Track Name,Segment,Latitude,Longitude,Time,Elevation(m),Course(deg),Speed(m/s),Zone,Easting(m),Northing(m),X(m),Y(m),Z(m),Distance(m),Forward Azimuth,Reverse Azimuth,Time(s),Speed(m/s),Julian Date,Index
Track,0,-35.228865,149.060038,2013-12-24T23:02:42Z,615.50,39.6,1.00,55H,687470.574,6099631.645,-4474075.519,2681919.014,-3658991.801,17.024,25.931,205.931,0.000,1.06,2456651.460208334,0
Track,0,-35.228727,149.060120,2013-12-24T23:02:58Z,612.90,nan,0.00,55H,687478.335,6099646.799,-4474085.101,2681916.077,-3658977.793,5.810,29.958,209.958,16.000,0.73,2456651.460393519,3
Track,0,-35.228681,149.060151,2013-12-24T23:03:06Z,611.70,23.1,1.00,55H,687481.340,6099651.771,-4474088.243,2681914.577,-3658972.989,13.257,23.634,203.634,24.000,1.66,2456651.460486111,4
Track,0,-35.228572,149.060210,2013-12-24T23:03:14Z,609.40,32.5,1.00,55H,687486.905,6099663.804,-4474095.374,2681912.655,-3658961.740,11.159,20.012,200.012,32.000,1.86,2456651.460578704,6
Track,0,-35.228477,149.060252,2013-12-24T23:03:20Z,610.20,36.2,1.25,55H,687490.941,6099674.208,-4474103.086,2681912.825,-3658953.636,11.466,78.989,258.989,38.000,0.76,2456651.460648148,8
Track,0,-35.228458,149.060375,2013-12-24T23:03:35Z,606.00,96.4,1.00,55H,687502.240,6099676.164,-4474107.015,2681902.056,-3658949.424,5.444,79.562,259.562,53.000,1.36,2456651.460821759,10
Track,0,-35.228449,149.060434,2013-12-24T23:03:39Z,607.40,81.2,1.00,55H,687507.613,6099677.039,-4474111.236,2681898.344,-3658949.426,10.650,86.464,266.464,57.000,1.33,2456651.460868055,11
Track,0,-35.228443,149.060551,2013-12-24T23:03:47Z,608.30,99.3,1.25,55H,687518.255,6099677.475,-4474117.658,2681889.798,-3658949.409,5.968,97.950,277.950,65.000,0.54,2456651.460960648,13
Track,0,-35.228450,149.060616,2013-12-24T23:03:58Z,607.30,72.5,0.75,55H,687524.147,6099676.527,-4474119.588,2681884.063,-3658949.506,5.978,87.128,267.128,76.000,1.00,2456651.461087963,14
Track,0,-35.228448,149.060681,2013-12-24T23:04:04Z,606.30,95.2,1.00,55H,687530.123,6099676.703,-4474122.105,2681878.611,-3658948.684,6.111,71.430,251.430,82.000,1.02,2456651.461157408,15
Track,0,-35.228430,149.060745,2013-12-24T23:04:10Z,606.70,66.2,1.50,55H,687535.955,6099678.528,-4474126.327,2681874.387,-3658947.325,12.004,70.959,250.959,88.000,1.20,2456651.461226852,16
Track,0,-35.228395,149.060870,2013-12-24T23:04:20Z,610.60,81.2,1.25,55H,687547.382,6099682.208,-4474136.832,2681867.453,-3658946.376,5.466,74.012,254.012,98.000,1.37,2456651.461342593,18
Track,0,-35.228381,149.060927,2013-12-24T23:04:24Z,610.20,77.9,1.25,55H,687552.667,6099683.605,-4474139.998,2681863.224,-3658944.915,5.990,65.488,245.488,102.000,1.50,2456651.461388889,19
Track,0,-35.228359,149.060987,2013-12-24T23:04:28Z,609.50,63.2,1.25,55H,687558.167,6099685.976,-4474143.540,2681858.992,-3658942.481,15.944,67.438,247.438,106.000,1.59,2456651.461435185,20
Track,0,-35.228304,149.061149,2013-12-24T23:04:38Z,609.60,70.6,1.50,55H,687573.015,6099691.787,-4474154.207,2681848.218,-3658937.541,12.126,62.705,242.705,116.000,1.52,2456651.461550926,22
Track,0,-35.228254,149.061267,2013-12-24T23:04:46Z,607.80,59.0,1.25,55H,687583.905,6099697.123,-4474161.238,2681839.868,-3658931.960,5.288,65.875,245.875,124.000,1.32,2456651.461643518,24
Track,0,-35.228234,149.061320,2013-12-24T23:04:50Z,607.20,58.0,1.25,55H,687588.774,6099699.184,-4474164.368,2681836.118,-3658929.849,10.831,42.175,222.174,128.000,1.35,2456651.461689815,25
Track,0,-35.228162,149.061400,2013-12-24T23:04:58Z,606.80,50.8,1.25,55H,687596.211,6099707.058,-4474171.799,2681832.093,-3658923.060,5.957,36.919,216.919,136.000,1.49,2456651.461782407,27
Track,0,-35.228119,149.061440,2013-12-24T23:05:02Z,606.80,36.0,1.50,55H,687599.888,6099711.746,-4474175.996,2681830.436,-3658919.169,13.132,27.193,207.193,140.000,1.64,2456651.461828704,28
Track,0,-35.228014,149.061506,2013-12-24T23:05:10Z,608.90,32.5,1.50,55H,687606.131,6099723.299,-4474186.332,2681829.634,-3658910.839,21.777,44.936,224.936,148.000,1.56,2456651.461921296,30
Track,0,-35.227875,149.061675,2013-12-24T23:05:24Z,608.40,44.8,1.50,55H,687621.829,6099738.393,-4474201.518,2681820.802,-3658897.956,6.312,58.283,238.282,162.000,1.58,2456651.462083333,32
Track,0,-35.227845,149.061734,2013-12-24T23:05:28Z,608.10,51.3,1.50,55H,687627.266,6099741.599,-4474205.710,2681817.055,-3658895.072,12.071,57.661,237.661,166.000,1.51,2456651.462129630,33
